time,balance,datetime
1775734200,506.0,2026-04-09 11:30:00
1775735100,506.0,2026-04-09 11:45:00
1775736000,506.0,2026-04-09 12:00:00
1775737800,506.0,2026-04-09 12:30:00
1775738700,506.0,2026-04-09 12:45:00
1775739600,506.0,2026-04-09 13:00:00
1775742300,506.0,2026-04-09 13:45:00
1775743200,506.0,2026-04-09 14:00:00
1775744100,506.0,2026-04-09 14:15:00
1775745000,506.0,2026-04-09 14:30:00
1775745900,506.0,2026-04-09 14:45:00
1775748600,506.0,2026-04-09 15:30:00
1775749500,506.0,2026-04-09 15:45:00
1775750400,506.0,2026-04-09 16:00:00
1775751300,506.0,2026-04-09 16:15:00
1775752200,506.0,2026-04-09 16:30:00
1775754000,506.0,2026-04-09 17:00:00
1775755800,506.0,2026-04-09 17:30:00
1775756700,506.0,2026-04-09 17:45:00
1775757600,506.0,2026-04-09 18:00:00
1775759400,506.0,2026-04-09 18:30:00
1775761200,506.0,2026-04-09 19:00:00
1775763900,506.0,2026-04-09 19:45:00
1775764800,511.0,2026-04-09 20:00:00
1775765700,511.0,2026-04-09 20:15:00
1775766600,509.0,2026-04-09 20:30:00
1775767500,509.0,2026-04-09 20:45:00
1775768400,509.0,2026-04-09 21:00:00
1775769300,509.0,2026-04-09 21:15:00
1775771100,509.0,2026-04-09 21:45:00
1775773800,509.0,2026-04-09 22:30:00
1775775600,509.0,2026-04-09 23:00:00
1775776500,509.0,2026-04-09 23:15:00
1775777400,509.0,2026-04-09 23:30:00
1775778300,509.0,2026-04-09 23:45:00
1775779200,509.0,2026-04-10 00:00:00
1775780100,509.0,2026-04-10 00:15:00
1775781000,509.0,2026-04-10 00:30:00
1775782800,509.0,2026-04-10 01:00:00
1775783700,509.0,2026-04-10 01:15:00
1775786400,509.0,2026-04-10 02:00:00
1775787300,509.0,2026-04-10 02:15:00
1775788200,509.0,2026-04-10 02:30:00
1775790000,509.0,2026-04-10 03:00:00
1775790900,509.0,2026-04-10 03:15:00
1775791800,509.0,2026-04-10 03:30:00
1775792700,509.0,2026-04-10 03:45:00
1775793600,509.0,2026-04-10 04:00:00
1775794500,509.0,2026-04-10 04:15:00
1775795400,509.0,2026-04-10 04:30:00
1775796300,509.0,2026-04-10 04:45:00
1775798100,509.0,2026-04-10 05:15:00
1775799000,509.0,2026-04-10 05:30:00
1775799900,509.0,2026-04-10 05:45:00
1775800800,509.0,2026-04-10 06:00:00
1775802600,509.0,2026-04-10 06:30:00
1775803500,509.0,2026-04-10 06:45:00
1775804400,509.0,2026-04-10 07:00:00
1775805300,509.0,2026-04-10 07:15:00
1775806200,509.0,2026-04-10 07:30:00
1775807100,509.0,2026-04-10 07:45:00
1775808000,509.0,2026-04-10 08:00:00
1775808900,509.0,2026-04-10 08:15:00
1775810700,509.0,2026-04-10 08:45:00
1775813400,509.0,2026-04-10 09:30:00
1775814300,509.0,2026-04-10 09:45:00
1775815200,509.0,2026-04-10 10:00:00
1775816100,509.0,2026-04-10 10:15:00
1775817900,509.0,2026-04-10 10:45:00
1775818800,507.0,2026-04-10 11:00:00
1775819700,507.0,2026-04-10 11:15:00
1775820600,507.0,2026-04-10 11:30:00
1775821500,507.0,2026-04-10 11:45:00
1775822400,507.0,2026-04-10 12:00:00
1775825100,507.0,2026-04-10 12:45:00
1775826000,507.0,2026-04-10 13:00:00
1775829600,507.0,2026-04-10 14:00:00
1775831400,507.0,2026-04-10 14:30:00
1775832300,507.0,2026-04-10 14:45:00
1775833200,507.0,2026-04-10 15:00:00
1775834100,507.0,2026-04-10 15:15:00
1775835000,507.0,2026-04-10 15:30:00
1775836800,507.0,2026-04-10 16:00:00
1775837700,507.0,2026-04-10 16:15:00
1775840400,507.0,2026-04-10 17:00:00
1775841300,507.0,2026-04-10 17:15:00
1775842200,507.0,2026-04-10 17:30:00
1775843100,507.0,2026-04-10 17:45:00
1775844000,507.0,2026-04-10 18:00:00
1775844900,507.0,2026-04-10 18:15:00
1775845800,507.0,2026-04-10 18:30:00
1775848500,507.0,2026-04-10 19:15:00
1775849400,507.0,2026-04-10 19:30:00
1775852100,507.0,2026-04-10 20:15:00
1775853000,507.0,2026-04-10 20:30:00
1775853900,507.0,2026-04-10 20:45:00
1775854800,507.0,2026-04-10 21:00:00
1775856600,507.0,2026-04-10 21:30:00
1775857500,507.0,2026-04-10 21:45:00
1775859300,507.0,2026-04-10 22:15:00
1775861100,507.0,2026-04-10 22:45:00
1775862000,507.0,2026-04-10 23:00:00
1775862900,507.0,2026-04-10 23:15:00
1775863800,507.0,2026-04-10 23:30:00
1775865600,507.0,2026-04-11 00:00:00
1775867400,507.0,2026-04-11 00:30:00
1775868300,507.0,2026-04-11 00:45:00
1775869200,507.0,2026-04-11 01:00:00
1775870100,507.0,2026-04-11 01:15:00
1775871000,507.0,2026-04-11 01:30:00
1775873700,507.0,2026-04-11 02:15:00
1775874600,507.0,2026-04-11 02:30:00
1775875500,507.0,2026-04-11 02:45:00
1775878200,507.0,2026-04-11 03:30:00
1775880000,507.0,2026-04-11 04:00:00
1775880900,507.0,2026-04-11 04:15:00
1775881800,507.0,2026-04-11 04:30:00
1775882700,507.0,2026-04-11 04:45:00
1775883600,507.0,2026-04-11 05:00:00
1775884500,507.0,2026-04-11 05:15:00
1775885400,507.0,2026-04-11 05:30:00
1775888100,507.0,2026-04-11 06:15:00
1775889000,507.0,2026-04-11 06:30:00
1775891700,507.0,2026-04-11 07:15:00
1775892600,507.0,2026-04-11 07:30:00
1775893500,507.0,2026-04-11 07:45:00
1775895300,507.0,2026-04-11 08:15:00
1775896200,512.0,2026-04-11 08:30:00
1775898900,512.0,2026-04-11 09:15:00
1775900700,512.0,2026-04-11 09:45:00
1775901600,512.0,2026-04-11 10:00:00
1775902500,512.0,2026-04-11 10:15:00
1775904300,512.0,2026-04-11 10:45:00
1775905200,512.0,2026-04-11 11:00:00
1775907000,512.0,2026-04-11 11:30:00
1775908800,512.0,2026-04-11 12:00:00
1775909700,517.0,2026-04-11 12:15:00
1775912400,517.0,2026-04-11 13:00:00
1775914200,517.0,2026-04-11 13:30:00
1775915100,517.0,2026-04-11 13:45:00
1775916000,517.0,2026-04-11 14:00:00
1775916900,517.0,2026-04-11 14:15:00
1775919600,517.0,2026-04-11 15:00:00
1775921400,517.0,2026-04-11 15:30:00
1775922300,517.0,2026-04-11 15:45:00
1775923200,517.0,2026-04-11 16:00:00
1775924100,517.0,2026-04-11 16:15:00
1775925000,517.0,2026-04-11 16:30:00
1775925900,517.0,2026-04-11 16:45:00
1775926800,517.0,2026-04-11 17:00:00
1775927700,517.0,2026-04-11 17:15:00
1775928600,517.0,2026-04-11 17:30:00
1775929500,517.0,2026-04-11 17:45:00
1775930400,517.0,2026-04-11 18:00:00
1775933100,517.0,2026-04-11 18:45:00
1775934000,517.0,2026-04-11 19:00:00
1775934900,517.0,2026-04-11 19:15:00
1775935800,517.0,2026-04-11 19:30:00
1775936700,517.0,2026-04-11 19:45:00
1775937600,517.0,2026-04-11 20:00:00
1775939400,517.0,2026-04-11 20:30:00
1775940300,517.0,2026-04-11 20:45:00
1775941200,517.0,2026-04-11 21:00:00
1775942100,517.0,2026-04-11 21:15:00
1775944800,517.0,2026-04-11 22:00:00
1775945700,517.0,2026-04-11 22:15:00
1775946600,517.0,2026-04-11 22:30:00
1775949300,517.0,2026-04-11 23:15:00
1775950200,517.0,2026-04-11 23:30:00
1775951100,517.0,2026-04-11 23:45:00
1775952000,517.0,2026-04-12 00:00:00
1775952900,517.0,2026-04-12 00:15:00
1775953800,517.0,2026-04-12 00:30:00
1775955600,517.0,2026-04-12 01:00:00
1775956500,517.0,2026-04-12 01:15:00
1775958300,517.0,2026-04-12 01:45:00
1775959200,517.0,2026-04-12 02:00:00
1775960100,517.0,2026-04-12 02:15:00
1775961000,517.0,2026-04-12 02:30:00
1775961900,517.0,2026-04-12 02:45:00
1775962800,517.0,2026-04-12 03:00:00
1775963700,517.0,2026-04-12 03:15:00
1775964600,517.0,2026-04-12 03:30:00
1775965500,517.0,2026-04-12 03:45:00
1775966400,517.0,2026-04-12 04:00:00
1775967300,517.0,2026-04-12 04:15:00
1775968200,517.0,2026-04-12 04:30:00
1775969100,517.0,2026-04-12 04:45:00
1775970000,517.0,2026-04-12 05:00:00
1775970900,517.0,2026-04-12 05:15:00
1775973600,517.0,2026-04-12 06:00:00
1775974500,517.0,2026-04-12 06:15:00
1775975400,517.0,2026-04-12 06:30:00
1775978100,517.0,2026-04-12 07:15:00
1775979000,517.0,2026-04-12 07:30:00
1775980800,517.0,2026-04-12 08:00:00
1775982600,517.0,2026-04-12 08:30:00
1775984400,517.0,2026-04-12 09:00:00
1775985300,515.0,2026-04-12 09:15:00
1775987100,515.0,2026-04-12 09:45:00
1775988000,515.0,2026-04-12 10:00:00
1775989800,515.0,2026-04-12 10:30:00
1775991600,515.0,2026-04-12 11:00:00
1775992500,515.0,2026-04-12 11:15:00
1775995200,515.0,2026-04-12 12:00:00
1775997000,515.0,2026-04-12 12:30:00
1775999700,515.0,2026-04-12 13:15:00
1776000600,515.0,2026-04-12 13:30:00
1776001500,515.0,2026-04-12 13:45:00
1776002400,515.0,2026-04-12 14:00:00
1776003300,515.0,2026-04-12 14:15:00
1776006000,515.0,2026-04-12 15:00:00
1776006900,515.0,2026-04-12 15:15:00
1776007800,515.0,2026-04-12 15:30:00
1776008700,515.0,2026-04-12 15:45:00
1776010500,515.0,2026-04-12 16:15:00
1776011400,515.0,2026-04-12 16:30:00
1776012300,515.0,2026-04-12 16:45:00
1776013200,515.0,2026-04-12 17:00:00
1776014100,515.0,2026-04-12 17:15:00
1776015000,515.0,2026-04-12 17:30:00
1776015900,515.0,2026-04-12 17:45:00
1776016800,515.0,2026-04-12 18:00:00
1776017700,515.0,2026-04-12 18:15:00
1776018600,515.0,2026-04-12 18:30:00
1776019500,515.0,2026-04-12 18:45:00
1776020400,515.0,2026-04-12 19:00:00
1776021300,515.0,2026-04-12 19:15:00
1776022200,515.0,2026-04-12 19:30:00
1776024900,515.0,2026-04-12 20:15:00
